nama_destinasi,username,komentar,rating,tanggal
Ramayana Ballet Prambanan,SY,"meskipun gajadi nonton, tapi yakin banget kalo pertunjukannha epic dan fantastis! keep it up temen2 sendratari!!","5,0
/5",6 Feb 2023
Ramayana Ballet Prambanan,Dori Gusvawijaya,Nice show! Berharap selanjutnya bisa nonton yg outdoor.,"5,0
/5",5 Feb 2023
Ramayana Ballet Prambanan,Dewi Delvya Rismayani,Bagus.. sangat mengentertaint dan mengedukasi juga buat anak2.. tempat duduk utk menonton juga nyaman,"5,0
/5",19 Jan 2023
Ramayana Ballet Prambanan,PH,"bagus, cocok untuk keluarga","5,0
/5",10 Jan 2023
Ramayana Ballet Prambanan,DP,"Bagus sekali, harus nonton lg bila kejogya, kerenz","5,0
/5",4 Jan 2023
Ramayana Ballet Prambanan,Muhammad Iqbal Maulana,"Performance yang sangat menarik, cerita dikemas dalam bahasa Jawa","5,0
/5",1 Jan 2023
Ramayana Ballet Prambanan,Djoki Djoki,Recommend for classic Ramayana epic teather,"5,0
/5",25 Dec 2022
Ramayana Ballet Prambanan,Marthen Yopary S,Amazing performance.. great atmosphere with gamelan sound.,"5,0
/5",22 Dec 2022
Ramayana Ballet Prambanan,KG,Pengalaman pertama melihat ramayana ballet dan bagus...,"5,0
/5",14 Dec 2022
Ramayana Ballet Prambanan,AR,"Super worth it! The dance, make up, property, story are amazing. Really enjoyed it!","5,0
/5",19 Nov 2022
Ramayana Ballet Prambanan,AS,bagussssss bgtssssssss,"5,0
/5",8 Nov 2022
Ramayana Ballet Prambanan,Lubna Hanifa Moeljawan,Baguss banget sangat worth it,"5,0
/5",2 Nov 2022
Ramayana Ballet Prambanan,Sari Saraswati,"puas banget beli disini dapet potongan diskon,, pertunjukkanny bagus","5,0
/5",30 Oct 2022
Ramayana Ballet Prambanan,Griajeng Ruthjunitarani,😍😍😍😍 Wajib tonton pertunjukan ini kalau ke Jogja!,"5,0
/5",30 Sep 2022
Ramayana Ballet Prambanan,Tika Yosefine,Show yang bagus dan penukaran tiket mudah,"5,0
/5",25 Sep 2022
